"gvkey","tic","aco","acominc","ao","aoloch","aqc","bkvlps","caps","ch","chech","csho","cstk","dlc","dltt","dvt","ebit","epspi","nopi","re","rect","revt","siv","sstk","teq","tstk","wcap","restmt_at_mag","restmt_capx_mag","restmt_cogs_mag","restmt_epspi_mag","restmt_ni_mag","restmt_nopi_mag","restmt_reuna_mag","restmt_teq_mag","restmt_txt_mag","restmt_wcap_mag","restmt_xint_mag","cshtrd_m","prccd_m","prcod_m","trfd_m","trfm_m","pe_ratio","wc_ratio","de_ratio","roe_ratio","sp_rating_target","restmt_at_target","restmt_capx_target","restmt_cogs_target","restmt_dltt_target","restmt_epspi_target","restmt_ib_target","restmt_ni_target","restmt_nopi_target","restmt_reuna_target","restmt_teq_target","restmt_txt_target","restmt_wcap_target","restmt_xint_target","litigated","litigation_settlement"
13540,"WWAV",43.0913333333333,-24.1543333333333,17.3503333333333,0.910333333333333,0,3.36006666666667,547.948333333333,89.155,9.09766666666667,115.484333333333,1.155,10,623.123666666667,0,181.935,0.616666666666667,5.58333333333333,33.0283333333333,127.813666666667,2311.98866666667,0,122.946,962.360333333333,0,88.873,0,0,0,9.41666666666667,0,-546.789666666667,0,0,0,0,0,1378909.97687861,20.6162269749518,20.6236994219653,1.10236579,1,33.4317194188408,0.330214367843163,1.2721496210186,0.110883622593201,0.122641509433962,0.127835051546392,0.134146341463415,0.131147540983607,0.135353535353535,0.153024911032028,0.125,0.126272912423625,0.142857142857143,0.128630705394191,0.127348643006263,0.12655601659751,0.132382892057026,0.13034188034188,"0",NA
13550,"NNUTU",0.3955,-0.186,0.10025,-0.141,0.05,5.506325,0,0.31025,-0.2595,7.5,0,4.525,7.35,0.0375,-0.76475,-0.1675,0.08,0,4.73275,16.7745,0,0,41.2975,0,0.75775,0,0,0.31825,0,0,-55.341,0,0,0,0,0,3632.87082601054,2.9167039543058,3.18524898945518,5.44157310586995,5.49021254514346,-17.413157936154,0.466313014719125,0.369737877595496,-0.0299291724680671,0.122641509433962,0.127835051546392,0.134146341463415,0.142414860681115,0.135353535353535,0.125799573560768,0.125,0.126272912423625,0.142857142857143,0.128630705394191,0.127348643006263,0.12655601659751,0.132382892057026,0.13034188034188,"0",NA
13765,"NAII",2.11275,-0.27775,1.56075,-0.19025,0,5.235625,19.437,13.79575,3.1755,6.9945,0.07225,0,0,0,3.56875,0.5325,-0.0045,18.86125,6.2055,64.2635,0,0.02875,36.57375,1.79675,24.5745,0,0,0,0,0,0,0,0,0,0,0,15876.237258348,6.05921107205624,6.35056542179262,1.124309,1,11.3788001353169,4.85846017556576,0.169752896544653,0.102129259373184,0.122641509433962,0.127835051546392,0.134146341463415,0.131147540983607,0.135353535353535,0.125799573560768,0.125,0.126272912423625,0.127906976744186,0.128630705394191,0.127348643006263,0.12655601659751,0.132382892057026,0.13034188034188,"0",NA
13963,"VGR",52.09825,3.34275,114.425,-0.73825,-12.448,-0.898525,0,295.26725,6.25299999999999,85.44075,8.54375,72.636,531.78,131.05825,157.55675,0.6,47.72775,-73.07475,16.614,570.68725,40.543,0.89725,-59.03125,12.857,280.40925,0,0,0,-6.03375,0,-37.8225,0,0,0,0,0,480180.017574692,17.277460456942,17.2735500878735,22.3008751500791,28.7243551811347,28.7957674282367,0.507551377932543,-18.8899015352038,-0.84137638962414,0.148275862068966,0.127835051546392,0.134146341463415,0.131147540983607,0.135353535353535,0.153024911032028,0.125,0.126272912423625,0.142857142857143,0.128630705394191,0.127348643006263,0.12655601659751,0.132382892057026,0.13034188034188,"0",NA
14269,"HLF",180.80675,-29.14575,70.90575,10.88225,0,5.565875,294.29,438.95825,205.54325,95.675,0.1105,35.5535,414.61225,99.34375,608.8225,4.415,5.95175,204.18175,97.93425,3771.60025,0,12.47975,498.58225,0,321.88175,0.47175,0,-2.5995,-12.255,0.3465,-573.6145,-1.543,-1.21575,-1.0605,-2.8025,-43.1865,2230926.5254833,56.7224077328647,56.7302460456942,1.12301816258348,1.12135232851328,12.8476574706375,0.817619374577013,2.44791305747447,0.849708348020813,0.148275862068966,0.150943396226415,0.134146341463415,0.142414860681115,0.135353535353535,0.153024911032028,0.154676258992806,0.154440154440154,0.142857142857143,0.149253731343284,0.151291512915129,0.152985074626866,0.142857142857143,0.145390070921986,"1",NA
14309,"IPAR",13.6135,15.2155,6.56575,-3.272,0,10.404625,53.0815,126.59725,6.29575,30.633,0.03075,16.6315,1.25975,14.26,71.08825,1.875,0.862,300.9025,130.94825,573.33175,0,1.74125,414.90825,34.9305,288.837,0,0,0.53825,0,0,-2476.90325,0,0,0,0,0,106267.351493849,21.6691185413005,21.6708173110721,1.12351565251318,1.12417204865291,11.5568632220269,2.57428418726096,0.432917398003053,0.138128730870018,0.122641509433962,0.127835051546392,0.134146341463415,0.142414860681115,0.135353535353535,0.125799573560768,0.125,0.126272912423625,0.142857142857143,0.128630705394191,0.127348643006263,0.12655601659751,0.132382892057026,0.13034188034188,"0",NA
14503,"IPSU",50.052,-77.4255,14.0835,-10.8455,0,15.609,0,11.442,-57.725,12.1845,130.87,51.9215,0,0.963,-56.1235,3.55,2.923,59.223,55.3575,878.0045,0,0,190.093,0,9.636,0,0,0,0,0,2332.2215,0,0,0,0,0,306874.666131621,11.3172712680578,11.3375762439807,1.61343821226324,1.61631019217392,3.18796373748107,0.64140895764198,1.71442662275833,0.21954253970425,0.148275862068966,0.127835051546392,0.134146341463415,0.131147540983607,0.135353535353535,0.125799573560768,0.125,0.126272912423625,0.142857142857143,0.128630705394191,0.127348643006263,0.12655601659751,0.132382892057026,0.13034188034188,"1",NA
14891,"MGPI",6.4645,-0.76975,1.446,1.8945,0,4.50055,9.02125,4.20725,2.47475,17.5665,6.715,2.573,15.614,0.68025,0.896,0.0625,-0.77625,69.1975,27.61875,276.87125,5.7635,0.16825,79.103,5.83475,33.39475,0,0,0,0,0,557.27025,0,0,0,0,0,32859.6010544815,6.1008255711775,6.10812662565905,1.37520542953427,1.37594370594439,97.6132091388401,1.01231926471984,0.79913530460286,0.0130209979393955,0.122641509433962,0.127835051546392,0.134146341463415,0.131147540983607,0.135353535353535,0.125799573560768,0.125,0.126272912423625,0.142857142857143,0.128630705394191,0.127348643006263,0.12655601659751,0.132382892057026,0.13034188034188,"0",NA
15087,"LWAY",0.42175,0.0025,0,0.058,0.0675,2.3055,2.03275,2.4845,0.669,16.4095,6.509,1.936,6.40425,0.6135,7.056,0.26,0.179,36.87725,9.10075,76.836,0,0,37.81675,7.60225,11.7325,0,0,8.5905,0,0,0,0,0,0,0,0,17438.381370826,11.3900920035149,11.3800422671353,1.0044798681283,1.00460767137155,43.8080461673651,1.12290124701207,0.459095506620743,0.11295920458527,0.122641509433962,0.127835051546392,0.134146341463415,0.142414860681115,0.135353535353535,0.125799573560768,0.125,0.126272912423625,0.127906976744186,0.128630705394191,0.127348643006263,0.12655601659751,0.132382892057026,0.13034188034188,"0",NA
15382,"3VAPO",0.5635,0,0.059,-0.075,0,0.0075,11.579,0.4105,-0.1855,81.888,0.0085,0.048,0,0,-5.713,-0.1,-0.0525,-11.025,0.026,0,0,2.7805,0.5635,0,0.5045,0,0,-50,0,0,-326.6665,0,0,0,0,0,155094.407407407,0.379066666666667,7.54280092592593,5.69062336,1,-3.79066666666667,2.01816347124117,0.879325643300799,-10.2005323868678,0.122641509433962,0.127835051546392,0.134146341463415,0.142414860681115,0.135353535353535,0.125799573560768,0.154676258992806,0.126272912423625,0.142857142857143,0.128630705394191,0.127348643006263,0.12655601659751,0.132382892057026,0.13034188034188,"0",NA
